"name","x","y"
300,324.16,404.05
301,324.99,405.06
302,325.71,406.14
303,326.32,407.29
304,326.82,408.51
305,327.18,409.81
306,327.41,411.2
307,327.49,412.32
308,327.49,412.69
309,327.49,412.98
310,327.45,413.85
311,327.32,414.95
312,327.11,415.97
313,326.83,416.93
314,326.47,417.82
315,326.05,418.65
316,325.56,419.42
317,325.02,420.14
318,324.42,420.8
319,323.77,421.4
320,323.07,421.96
321,322.34,422.46
322,321.56,422.91
323,320.75,423.32
324,319.91,423.69
325,319.26,423.94
326,319.05,424.01
327,319.05,424.01
328,319.14,423.94
329,319.4,423.73
330,319.76,423.37
331,320.17,422.87
332,320.58,422.22
333,320.94,421.44
334,321.19,420.51
335,321.29,419.7
336,321.29,419.43
337,321.29,419.12
338,321.2,418.17
339,320.93,417.01
340,320.5,415.93
341,319.91,414.93
342,319.18,414.01
343,318.32,413.15
344,317.35,412.35
345,316.27,411.61
346,315.09,410.91
347,313.83,410.26
348,312.5,409.64
349,311.12,409.05
350,309.68,408.48
351,308.21,407.92
352,306.72,407.38
353,305.21,406.83
354,303.71,406.29
355,302.21,405.73
356,300.74,405.16
357,299.31,404.56
358,297.92,403.94
359,296.59,403.28
360,295.33,402.57
361,294.16,401.82
362,293.08,401.02
363,292.1,400.15
364,291.24,399.21
365,290.52,398.2
366,289.93,397.11
367,289.5,395.94
368,289.23,394.66
369,289.13,393.64
370,289.13,393.29
371,289.13,393.03
372,289.19,392.23
373,289.36,391.24
374,289.62,390.35
375,289.95,389.53
376,290.36,388.79
377,290.82,388.13
378,291.32,387.54
379,291.85,387.03
380,292.4,386.58
381,292.94,386.2
382,293.48,385.89
383,293.99,385.64
384,294.46,385.45
385,294.88,385.31
386,295.23,385.23
387,295.44,385.21
388,295.51,385.21
389,295.51,385.21
390,295.56,385.2
391,295.6,385.14
392,295.6,385.12
393,295.6,385.12
394,295.59,385.12
395,295.53,385.12
396,295.51,385.12
397,295.49,385.1
398,295.3,385
399,294.79,384.82
400,294.02,384.65
401,293.25,384.58
402,293,384.58
403,292.8,384.58
404,292.21,384.62
405,291.36,384.75
406,290.45,384.97
407,289.51,385.29
408,288.54,385.7
409,287.57,386.21
410,286.61,386.82
411,285.68,387.53
412,284.79,388.36
413,283.97,389.3
414,283.23,390.35
415,282.59,391.51
416,282.06,392.8
417,281.66,394.22
418,281.41,395.76
419,281.32,397.01
420,281.32,397.42
421,281.32,397.93
422,281.48,399.43
423,281.93,401.35
424,282.64,403.18
425,283.55,404.92
426,284.63,406.59
427,285.84,408.18
428,287.13,409.69
429,288.46,411.13
430,289.79,412.51
431,291.08,413.83
432,292.29,415.08
433,293.37,416.28
434,294.28,417.43
435,294.99,418.53
436,295.44,419.59
437,295.6,420.35
438,295.6,420.6
439,295.6,420.81
440,295.54,421.44
441,295.38,422.19
442,295.15,422.85
443,294.88,423.41
444,294.62,423.85
445,294.39,424.19
446,294.23,424.39
447,294.16,424.46
448,294.16,424.46
449,293.6,424.28
450,291.93,423.66
451,289.64,422.67
452,287.32,421.49
453,285.02,420.11
454,282.74,418.55
455,280.52,416.78
456,278.39,414.82
457,276.37,412.66
458,274.48,410.3
459,272.76,407.73
460,271.24,404.97
461,269.93,401.99
462,268.86,398.81
463,268.06,395.41
464,267.57,391.81
465,267.4,388.95
466,267.4,387.99
467,267.4,387.41
468,267.47,385.65
469,267.67,383.39
470,267.99,381.21
471,268.44,379.1
472,268.99,377.08
473,269.65,375.13
474,270.4,373.26
475,271.25,371.47
476,272.18,369.76
477,273.18,368.13
478,274.26,366.57
479,275.39,365.09
480,276.59,363.68
481,277.82,362.35
482,279.11,361.09
483,280.42,359.91
484,281.76,358.81
485,283.13,357.78
486,284.51,356.82
487,285.89,355.93
488,287.27,355.12
489,288.65,354.38
490,290.01,353.71
491,291.35,353.12
492,292.66,352.59
493,293.93,352.14
494,295.17,351.76
495,296.35,351.45
496,297.48,351.21
497,298.54,351.03
498,299.54,350.93
499,300.22,350.9
500,NA,NA
